id,name,rating,announcementID,announcementWriter,startTime,
"913","Hello 2018","2848","56954","tourist","2018-01-08 14:45:00",
"773","VK Cup 2017 - Round 3","2247","51867","tourist","2017-05-07 15:45:00",
"806","Codeforces Round #412 (rated, Div. 1, based on VK Cup 2017 Round 3)","2247","51867","tourist","2017-05-07 15:45:00",
"807","Codeforces Round #412 (rated, Div. 2, base on VK Cup 2017 Round 3)","2247","51867","tourist","2017-05-07 15:45:00",
"1097","Hello 2019","1909","64251","Radewoosh","2019-01-04 14:45:00",
"549","Looksery Cup 2015","1426","18348","Monyura","2015-06-06 13:00:00",
"611","Good Bye 2015","1387","22389","Errichto","2015-12-30 15:05:00",
"1205","Codeforces Round #580 (Div. 1)","1335","69141","antontrygubO_o","2019-08-18 13:45:00",
"1206","Codeforces Round #580 (Div. 2)","1335","69141","antontrygubO_o","2019-08-18 13:45:00",
"908","Good Bye 2017","1310","56691","Lewin","2017-12-29 15:40:00",
"538","Codeforces Round #300","1212","17548","Endagorion","2015-04-26 16:00:00",
"515","Codeforces Round #292 (Div. 2)","1116","16446","dreamoon_love_AA","2015-02-17 16:35:00",
"516","Codeforces Round #292 (Div. 1)","1116","16446","dreamoon_love_AA","2015-02-17 16:35:00",
"1149","Codeforces Round #556 (Div. 1)","1064","66735","mnbvmar","2019-04-29 14:35:00",
"1150","Codeforces Round #556 (Div. 2)","1064","66735","mnbvmar","2019-04-29 14:35:00",
"1091","Good Bye 2018","1032","64068","majk","2018-12-30 14:35:00",
"901","Codeforces Round #453 (Div. 1)","959","56435","adamant","2017-12-19 15:35:00",
"902","Codeforces Round #453 (Div. 2)","959","56435","adamant","2017-12-19 15:35:00",
"526","ZeptoLab Code Rush 2015","886","17154","viktork","2015-04-04 16:35:00",
"1178","Codeforces Global Round 4","875","68432","majk","2019-07-20 15:35:00",
"1007","Codeforces Round #497 (Div. 1)","859","60503","SirShokoladina","2018-07-13 14:35:00",
"1008","Codeforces Round #497 (Div. 2)","859","60503","SirShokoladina","2018-07-13 14:35:00",
"535","Codeforces Round #299 (Div. 2)","814","17371","DarthKnight","2015-04-14 16:35:00",
"536","Codeforces Round #299 (Div. 1)","814","17371","DarthKnight","2015-04-14 16:35:00",
"1017","Codeforces Round #502 (in memory of Leopoldo Taravilse, Div. 1 + Div. 2)","812","61061","Magolor","2018-08-08 14:05:00",
"1141","Codeforces Round #547 (Div. 3)","809","65994","MikeMirzayanov","2019-03-19 14:35:00",
"472","Codeforces Round #270","794","13997","cgy4ever","2014-09-28 15:35:00",
"1038","Codeforces Round #508 (Div. 2)","784","61659","Ashishgup","2018-09-06 15:35:00",
"601","Codeforces Round #333 (Div. 1)","770","21490","Xellos","2015-11-24 16:35:00",
"965","Codeforces Round #476 (Div. 2) [Thanks, Telegram!]","764","59088","KAN","2018-04-25 17:35:00",
"500","Good Bye 2014","758","15465",".o.","2014-12-30 15:00:00",
"917","Codeforces Round #459 (Div. 1)","750","57360","DarthKnight","2018-01-29 14:35:00",
"918","Codeforces Round #459 (Div. 2)","750","57360","DarthKnight","2018-01-29 14:35:00",
"436","Zepto Code Rush 2014","726","12605","viktork","2014-06-13 15:30:00",
"815","Codeforces Round #419 (Div. 1)","724","52653","robinyu","2017-06-17 14:35:00",
"816","Codeforces Round #419 (Div. 2)","724","52653","robinyu","2017-06-17 14:35:00",
"587","Codeforces Round #326 (Div. 1)","721","20913","DarthKnight","2015-10-15 16:30:00",
"588","Codeforces Round #326 (Div. 2)","721","20913","DarthKnight","2015-10-15 16:30:00",
"618","Wunder Fund Round 2016 (Div. 1 + Div. 2 combined)","707","23084","Lewin","2016-01-29 17:10:00",
"489","Codeforces Round #277.5 (Div. 2)","697","14711","MikeMirzayanov","2014-11-17 15:35:00",
"666","Codeforces Round #349 (Div. 1)","694","44605","adamant","2016-04-29 16:35:00",
"667","Codeforces Round #349 (Div. 2)","694","44605","adamant","2016-04-29 16:35:00",
"679","Codeforces Round #356 (Div. 1)","687","45280","Errichto","2016-06-08 16:35:00",
"680","Codeforces Round #356 (Div. 2)","687","45280","Errichto","2016-06-08 16:35:00",
"922","Codeforces Round #461 (Div. 2)","674","57538","GreenGrape","2018-02-07 17:15:00",
"687","Codeforces Round #360 (Div. 1)","658","45711","M.Mahdi","2016-06-29 17:05:00",
"688","Codeforces Round #360 (Div. 2)","658","45711","M.Mahdi","2016-06-29 17:05:00",
"1208","Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)","656","69323","hitman623","2019-08-25 14:35:00",
"986","Codeforces Round #485 (Div. 1)","656","59720","Um_nik","2018-05-29 15:35:00",
"987","Codeforces Round #485 (Div. 2)","656","59720","Um_nik","2018-05-29 15:35:00",
